sample	extraction	gene	timeline	genotype	rep	genome	region	cov	event_count	dcs_count	freq	freq_floor	freq_floor_log
mt_Pol1A_wild_2	mt	Pol1A	old	wild	2	mito	intron	4050908	0	0	0	1.00E-08	-8
mt_Pol1A_wild_2	mt	Pol1A	old	wild	2	mito	tRNA	268401	0	0	0	1.00E-08	-8
mt_Pol1A_wild_2	mt	Pol1A	old	wild	2	mito	rRNA	987014	0	0	0	1.00E-08	-8
mt_Pol1A_wild_3	mt	Pol1A	old	wild	3	mito	intergenic	98453078	18	18	1.83E-07	1.93E-07	-6.714442691
mt_Pol1A_wild_3	mt	Pol1A	old	wild	3	mito	CDS	8941850	4	4	4.47E-07	4.57E-07	-6.3400838
mt_Pol1A_wild_3	mt	Pol1A	old	wild	3	mito	intron	7281515	1	1	1.37E-07	1.47E-07	-6.832682665
mt_Pol1A_wild_3	mt	Pol1A	old	wild	3	mito	tRNA	491201	0	0	0	1.00E-08	-8
mt_Pol1A_wild_3	mt	Pol1A	old	wild	3	mito	rRNA	1807835	1	1	5.53E-07	5.63E-07	-6.249491605
mt_Pol1B_wild_1	mt	Pol1B	old	wild	1	mito	intergenic	121743363	42	42	3.45E-07	3.55E-07	-6.449771647
mt_Pol1B_wild_1	mt	Pol1B	old	wild	1	mito	CDS	11131511	8	8	7.19E-07	7.29E-07	-6.137272472
mt_Pol1B_wild_1	mt	Pol1B	old	wild	1	mito	intron	9493258	3	3	3.16E-07	3.26E-07	-6.4867824
mt_Pol1B_wild_1	mt	Pol1B	old	wild	1	mito	tRNA	618569	0	0	0	1.00E-08	-8
mt_Pol1B_wild_1	mt	Pol1B	old	wild	1	mito	rRNA	2382837	5	5	2.10E-06	2.11E-06	-5.675717545
mt_Pol1B_wild_2	mt	Pol1B	old	wild	2	mito	intergenic	89836494	19	19	2.11E-07	2.21E-07	-6.655607726
mt_Pol1B_wild_2	mt	Pol1B	old	wild	2	mito	CDS	8221946	4	4	4.87E-07	4.97E-07	-6.303643611
mt_Pol1B_wild_2	mt	Pol1B	old	wild	2	mito	intron	6872439	2	2	2.91E-07	3.01E-07	-6.521433504
mt_Pol1B_wild_2	mt	Pol1B	old	wild	2	mito	tRNA	454708	2	2	4.40E-06	4.41E-06	-5.355561411
mt_Pol1B_wild_2	mt	Pol1B	old	wild	2	mito	rRNA	1638581	0	0	0	1.00E-08	-8
mt_Pol1B_wild_3	mt	Pol1B	old	wild	3	mito	intergenic	105361971	18	18	1.71E-07	1.81E-07	-6.742321425
mt_Pol1B_wild_3	mt	Pol1B	old	wild	3	mito	CDS	9640202	1	1	1.04E-07	1.14E-07	-6.943095149
mt_Pol1B_wild_3	mt	Pol1B	old	wild	3	mito	intron	8100744	1	1	1.23E-07	1.33E-07	-6.876148359
mt_Pol1B_wild_3	mt	Pol1B	old	wild	3	mito	tRNA	528430	0	0	0	1.00E-08	-8
mt_Pol1B_wild_3	mt	Pol1B	old	wild	3	mito	rRNA	2004964	1	1	4.99E-07	5.09E-07	-6.293282218
mt_RecA3CS872520_wild_1	mt	RecA3CS872520	old	wild	1	mito	intergenic	142181659	29	29	2.04E-07	2.14E-07	-6.669586227
mt_RecA3CS872520_wild_1	mt	RecA3CS872520	old	wild	1	mito	CDS	12801465	1	1	7.81E-08	8.81E-08	-7.055024092
mt_RecA3CS872520_wild_1	mt	RecA3CS872520	old	wild	1	mito	intron	10990529	1	1	9.10E-08	1.01E-07	-6.995678626
mt_RecA3CS872520_wild_1	mt	RecA3CS872520	old	wild	1	mito	tRNA	734146	0	0	0	1.00E-08	-8
mt_RecA3CS872520_wild_1	mt	RecA3CS872520	old	wild	1	mito	rRNA	2875041	2	2	6.96E-07	7.06E-07	-6.151195299
mt_RecA3CS872520_wild_2	mt	RecA3CS872520	old	wild	2	mito	intergenic	149212975	22	22	1.47E-07	1.57E-07	-6.804100348
mt_RecA3CS872520_wild_2	mt	RecA3CS872520	old	wild	2	mito	CDS	13515408	3	3	2.22E-07	2.32E-07	-6.634512015
mt_RecA3CS872520_wild_2	mt	RecA3CS872520	old	wild	2	mito	intron	11444600	0	0	0	1.00E-08	-8
mt_RecA3CS872520_wild_2	mt	RecA3CS872520	old	wild	2	mito	tRNA	743483	0	0	0	1.00E-08	-8
mt_RecA3CS872520_wild_2	mt	RecA3CS872520	old	wild	2	mito	rRNA	2823329	1	1	3.54E-07	3.64E-07	-6.438898616
mt_RecA3CS872520_wild_3	mt	RecA3CS872520	old	wild	3	mito	intergenic	145515438	18	18	1.24E-07	1.34E-07	-6.872895202
mt_RecA3CS872520_wild_3	mt	RecA3CS872520	old	wild	3	mito	CDS	13032264	2	2	1.53E-07	1.63E-07	-6.787812396
mt_RecA3CS872520_wild_3	mt	RecA3CS872520	old	wild	3	mito	intron	11099501	2	2	1.80E-07	1.90E-07	-6.721246399
mt_RecA3CS872520_wild_3	mt	RecA3CS872520	old	wild	3	mito	tRNA	737674	1	1	1.36E-06	1.37E-06	-5.863279433
mt_RecA3CS872520_wild_3	mt	RecA3CS872520	old	wild	3	mito	rRNA	2822842	4	4	1.42E-06	1.43E-06	-5.844663963
mt_UNG_wild_1	mt	UNG	old	wild	1	mito	intergenic	106338702	18	19	1.79E-07	1.89E-07	-6.723538196
mt_UNG_wild_1	mt	UNG	old	wild	1	mito	CDS	9535283	3	3	3.15E-07	3.25E-07	-6.488116639
mt_UNG_wild_1	mt	UNG	old	wild	1	mito	intron	8558570	4	4	4.67E-07	4.77E-07	-6.321481621
mt_UNG_wild_1	mt	UNG	old	wild	1	mito	tRNA	542732	1	1	1.84E-06	1.85E-06	-5.732828272
mt_UNG_wild_1	mt	UNG	old	wild	1	mito	rRNA	2280202	1	1	4.39E-07	4.49E-07	-6.347753659
mt_UNG_wild_2	mt	UNG	old	wild	2	mito	intergenic	61620208	7	7	1.14E-07	1.24E-07	-6.906578315
mt_UNG_wild_2	mt	UNG	old	wild	2	mito	CDS	5528380	0	0	0	1.00E-08	-8
mt_UNG_wild_2	mt	UNG	old	wild	2	mito	intron	5338169	0	0	0	1.00E-08	-8
mt_UNG_wild_2	mt	UNG	old	wild	2	mito	tRNA	318630	0	0	0	1.00E-08	-8
mt_UNG_wild_2	mt	UNG	old	wild	2	mito	rRNA	1442960	1	1	6.93E-07	7.03E-07	-6.153044675
mt_UNG_wild_3	mt	UNG	old	wild	3	mito	intergenic	120721544	5	5	4.14E-08	5.14E-08	-7.289036881
mt_UNG_wild_3	mt	UNG	old	wild	3	mito	CDS	10669526	2	2	1.87E-07	1.97E-07	-6.705533774
mt_UNG_wild_3	mt	UNG	old	wild	3	mito	intron	10033524	0	0	0	1.00E-08	-8
mt_UNG_wild_3	mt	UNG	old	wild	3	mito	tRNA	602165	1	1	1.66E-06	1.67E-06	-5.777283529
mt_UNG_wild_3	mt	UNG	old	wild	3	mito	rRNA	2758663	0	0	0	1.00E-08	-8
pt_FpgOgg_wild_1	pt	FpgOgg	old	wild	1	plastid	intergenic	9971483	0	0	0	1.00E-08	-8
pt_FpgOgg_wild_1	pt	FpgOgg	old	wild	1	plastid	tRNA	649933	0	0	0	1.00E-08	-8
pt_FpgOgg_wild_1	pt	FpgOgg	old	wild	1	plastid	CDS	21373740	1	1	4.68E-08	5.68E-08	-7.245651664
pt_FpgOgg_wild_1	pt	FpgOgg	old	wild	1	plastid	intron	4704621	0	0	0	1.00E-08	-8
pt_FpgOgg_wild_1	pt	FpgOgg	old	wild	1	plastid	rRNA	3155664	0	0	0	1.00E-08	-8
pt_FpgOgg_wild_2	pt	FpgOgg	old	wild	2	plastid	intergenic	7213071	0	0	0	1.00E-08	-8
pt_FpgOgg_wild_2	pt	FpgOgg	old	wild	2	plastid	tRNA	487921	0	0	0	1.00E-08	-8
pt_FpgOgg_wild_2	pt	FpgOgg	old	wild	2	plastid	CDS	15533041	0	0	0	1.00E-08	-8
pt_FpgOgg_wild_2	pt	FpgOgg	old	wild	2	plastid	intron	3478827	0	0	0	1.00E-08	-8
pt_FpgOgg_wild_2	pt	FpgOgg	old	wild	2	plastid	rRNA	2352928	0	0	0	1.00E-08	-8
pt_FpgOgg_wild_3	pt	FpgOgg	old	wild	3	plastid	intergenic	4451073	0	0	0	1.00E-08	-8
pt_FpgOgg_wild_3	pt	FpgOgg	old	wild	3	plastid	tRNA	303106	0	0	0	1.00E-08	-8
pt_FpgOgg_wild_3	pt	FpgOgg	old	wild	3	plastid	CDS	9633546	0	0	0	1.00E-08	-8
pt_FpgOgg_wild_3	pt	FpgOgg	old	wild	3	plastid	intron	2097556	0	0	0	1.00E-08	-8
pt_FpgOgg_wild_3	pt	FpgOgg	old	wild	3	plastid	rRNA	1493533	0	0	0	1.00E-08	-8
pt_MSH1CS3246_mut_1	pt	MSH1CS3246	old	mut	1	plastid	intergenic	16073927	35	63	3.92E-06	4.92E-06	-5.308034897
pt_MSH1CS3246_mut_1	pt	MSH1CS3246	old	mut	1	plastid	tRNA	1048336	3	3	2.86E-06	3.86E-06	-5.413412695
pt_MSH1CS3246_mut_1	pt	MSH1CS3246	old	mut	1	plastid	CDS	33031993	77	103	3.12E-06	4.12E-06	-5.385102784
pt_MSH1CS3246_mut_1	pt	MSH1CS3246	old	mut	1	plastid	intron	7468379	20	24	3.21E-06	4.21E-06	-5.375717904
pt_MSH1CS3246_mut_1	pt	MSH1CS3246	old	mut	1	plastid	rRNA	4102840	13	13	3.17E-06	4.17E-06	-5.379863945
pt_MSH1CS3246_mut_2	pt	MSH1CS3246	old	mut	2	plastid	intergenic	18718281	39	83	4.43E-06	5.43E-06	-5.26520017
pt_MSH1CS3246_mut_2	pt	MSH1CS3246	old	mut	2	plastid	tRNA	1228717	5	10	8.14E-06	9.14E-06	-5.039053804
pt_MSH1CS3246_mut_2	pt	MSH1CS3246	old	mut	2	plastid	CDS	39198333	120	228	5.82E-06	6.82E-06	-5.166215625
pt_MSH1CS3246_mut_2	pt	MSH1CS3246	old	mut	2	plastid	intron	8668460	24	33	3.81E-06	4.81E-06	-5.317854924
pt_MSH1CS3246_mut_2	pt	MSH1CS3246	old	mut	2	plastid	rRNA	4713276	28	62	1.32E-05	1.42E-05	-4.847711656
pt_MSH1CS3246_mut_3	pt	MSH1CS3246	old	mut	3	plastid	intergenic	27594184	71	119	4.31E-06	5.31E-06	-5.274905479
pt_MSH1CS3246_mut_3	pt	MSH1CS3246	old	mut	3	plastid	tRNA	1834820	6	13	7.09E-06	8.09E-06	-5.092051478
pt_MSH1CS3246_mut_3	pt	MSH1CS3246	old	mut	3	plastid	CDS	58105004	125	211	3.63E-06	4.63E-06	-5.334419009
pt_MSH1CS3246_mut_3	pt	MSH1CS3246	old	mut	3	plastid	intron	12998572	33	52	4.00E-06	5.00E-06	-5.301029996
pt_MSH1CS3246_mut_3	pt	MSH1CS3246	old	mut	3	plastid	rRNA	7645372	33	51	6.67E-06	7.67E-06	-5.115204636
pt_MSH1CS3246_wild_1	pt	MSH1CS3246	old	wild	1	plastid	intergenic	14146861	0	0	0	1.00E-08	-8
pt_MSH1CS3246_wild_1	pt	MSH1CS3246	old	wild	1	plastid	tRNA	921729	1	1	1.08E-06	1.09E-06	-5.962573502
pt_MSH1CS3246_wild_1	pt	MSH1CS3246	old	wild	1	plastid	CDS	28926572	1	1	3.46E-08	4.46E-08	-7.350665141
pt_MSH1CS3246_wild_1	pt	MSH1CS3246	old	wild	1	plastid	intron	6635862	0	0	0	1.00E-08	-8
pt_MSH1CS3246_wild_1	pt	MSH1CS3246	old	wild	1	plastid	rRNA	3731972	0	0	0	1.00E-08	-8
pt_MSH1CS3246_wild_2	pt	MSH1CS3246	old	wild	2	plastid	intergenic	19416404	0	0	0	1.00E-08	-8
pt_MSH1CS3246_wild_2	pt	MSH1CS3246	old	wild	2	plastid	tRNA	1252290	0	0	0	1.00E-08	-8
pt_MSH1CS3246_wild_2	pt	MSH1CS3246	old	wild	2	plastid	CDS	39909255	1	1	2.51E-08	3.51E-08	-7.454692884
pt_MSH1CS3246_wild_2	pt	MSH1CS3246	old	wild	2	plastid	intron	8943620	0	0	0	1.00E-08	-8
pt_MSH1CS3246_wild_2	pt	MSH1CS3246	old	wild	2	plastid	rRNA	4885317	1	1	2.05E-07	2.15E-07	-6.66756154
pt_MSH1CS3246_wild_3	pt	MSH1CS3246	old	wild	3	plastid	intergenic	25670021	1	1	3.90E-08	4.90E-08	-7.30980392
pt_MSH1CS3246_wild_3	pt	MSH1CS3246	old	wild	3	plastid	tRNA	1677657	0	0	0	1.00E-08	-8
pt_MSH1CS3246_wild_3	pt	MSH1CS3246	old	wild	3	plastid	CDS	53215252	0	0	0	1.00E-08	-8
pt_MSH1CS3246_wild_3	pt	MSH1CS3246	old	wild	3	plastid	intron	11971957	0	0	0	1.00E-08	-8
pt_MSH1CS3246_wild_3	pt	MSH1CS3246	old	wild	3	plastid	rRNA	6918739	0	0	0	1.00E-08	-8
pt_MSH1CS3372_mut_1	pt	MSH1CS3372	old	mut	1	plastid	intergenic	24996217	61	129	5.16E-06	6.16E-06	-5.210419288
pt_MSH1CS3372_mut_1	pt	MSH1CS3372	old	mut	1	plastid	tRNA	1664533	5	10	6.01E-06	7.01E-06	-5.154281982
pt_MSH1CS3372_mut_1	pt	MSH1CS3372	old	mut	1	plastid	CDS	53877472	109	253	4.70E-06	5.70E-06	-5.244125144
pt_MSH1CS3372_mut_1	pt	MSH1CS3372	old	mut	1	plastid	intron	11828677	29	56	4.73E-06	5.73E-06	-5.241845378
pt_MSH1CS3372_mut_1	pt	MSH1CS3372	old	mut	1	plastid	rRNA	7453524	25	102	1.37E-05	1.47E-05	-4.832682665
pt_MSH1CS3372_mut_2	pt	MSH1CS3372	old	mut	2	plastid	intergenic	24416245	63	182	7.45E-06	8.45E-06	-5.073143291
pt_MSH1CS3372_mut_2	pt	MSH1CS3372	old	mut	2	plastid	tRNA	1658564	5	5	3.01E-06	4.01E-06	-5.396855627
pt_MSH1CS3372_mut_2	pt	MSH1CS3372	old	mut	2	plastid	CDS	52266761	122	250	4.78E-06	5.78E-06	-5.238072162
pt_MSH1CS3372_mut_2	pt	MSH1CS3372	old	mut	2	plastid	intron	11585226	24	59	5.09E-06	6.09E-06	-5.215382707
pt_MSH1CS3372_mut_2	pt	MSH1CS3372	old	mut	2	plastid	rRNA	7074716	31	36	5.09E-06	6.09E-06	-5.215382707
pt_MSH1CS3372_mut_3	pt	MSH1CS3372	old	mut	3	plastid	intergenic	19973099	39	72	3.60E-06	4.60E-06	-5.337242168
